Got it. I’ll look for empirical comparisons from recent research papers between subgraph pooling (centered on a node) and center spot readout for node-level tasks using Graph Transformers. I’ll focus on performance metrics, and if there are any AI4Science (AI4S) benchmarks or relevant benchmarks, I’ll include them.

I’ll let you know as soon as I have the results.


# Graph Transformer Node-Level Readouts: Subgraph Pooling vs Center Readout

Graph Transformers for node-level tasks can either aggregate information from a *subgraph* around each target node (a form of **subgraph pooling**) or simply use the target node’s own embedding from a global Transformer (a **center-node readout**).  Recent studies indicate that subgraph-based pooling often yields better performance.  For example, Chen *et al.*’s **NAGphormer** constructs multi-hop “tokens” for each node and then uses an attention-based pooling over these neighborhoods to form the node representation.  In empirical tests, NAGphormer surpasses several graph-Transformer baselines that effectively use only the center node.  On the PubMed benchmark, NAGphormer (attention pooling) achieves 89.70% accuracy, outperforming GraphTransformer (global self-attention on full graph) at 88.79%, SAN at 88.22%, and GraphGPS (Transformer+local GNN) at 88.94%.  The gap is even larger on heterophilic graphs: on CoraFull, NAGphormer scores 71.51% versus 59.01% (SAN), 55.76% (GraphGPS) and 61.05% (GraphTransformer).  Crucially, an ablation showed that using just the central node’s embedding (center-only readout) or a simple sum of neighborhood tokens yields lower accuracy: Chen *et al.* report that their attention-pooling readout outperforms both “center node only” and naïve averaging.  In other words, adaptively aggregating the surrounding subgraph gives richer node features and improves classification.

By contrast, vanilla Graph Transformers (e.g. Dwivedi & Bresson’s GraphTransformer) or hybrid models (GraphGPS) tend to rely on each node’s final token as the readout.  These methods have struggled on small and large benchmarks: for instance, a transformer model without locality (GraphTransformer) got only \~43% on Cora vs 79% for a simpler Transformer.  Even Graphormer (Ying *et al.*) often runs out of memory or underperforms on node tasks.  The trend is that **subgraph-centric Transformers** (like NAGphormer) outperform **center-only Transformers** on node classification, especially in low-homophily or large-graph regimes.  For example, *SwapGT* (Chen *et al.*, 2025) constructs multiple token sequences per node from its neighbors and uses a tailored readout with a “center-alignment” loss; it achieves state-of-the-art accuracies on several graphs.

On other node-level tasks, similar patterns hold.  In node regression or ranking tasks, graph Transformers with local context (or hybrid GNN+Transformer) outperform naively reading just one node embedding.  And in **node anomaly detection**, the Transformer-based autoencoder **TransGAD** treats each node’s neighborhood as a token sequence, incorporating both local and global cues.  This subgraph-aware model outperformed prior methods on seven benchmarks (reporting higher AUROC/F1).  (By comparison, purely center-focused models were not even explored for this task.)

The table below summarizes select comparisons of readout methods on node classification benchmarks: subgraph pooling (often via attention over neighbors) versus center-node readout.  In each case, the subgraph-based readout outperforms or matches the center-only baseline.

| Task                   | Dataset      | Model (Reference)                    | Readout                                   | Accuracy (or AUROC)    |
| ---------------------- | ------------ | ------------------------------------ | ----------------------------------------- | ---------------------- |
| Node classification    | PubMed       | GraphTransformer (Dwivedi & Bresson) | Center node                               | 88.79%                 |
| Node classification    | PubMed       | SAN (Kreuzer *et al.*, 2020)         | Center node                               | 88.22%                 |
| Node classification    | PubMed       | GraphGPS (Rampášek *et al.*, 2022)   | Center node                               | 88.94%                 |
| Node classification    | PubMed       | **NAGphormer (Chen *et al.*, 2022)** | Attention pooling over neighbors          | **89.70%**             |
| Node classification    | CoraFull     | GraphTransformer (Dwivedi & Bresson) | Center node                               | 61.05%                 |
| Node classification    | CoraFull     | SAN (Kreuzer *et al.*, 2020)         | Center node                               | 59.01%                 |
| Node classification    | CoraFull     | GraphGPS (Rampášek *et al.*, 2022)   | Center node                               | 55.76%                 |
| Node classification    | CoraFull     | **NAGphormer (Chen *et al.*, 2022)** | Attention pooling over neighbors          | **71.51%**             |
| Node anomaly detection | (7 datasets) | **TransGAD (Guo *et al.*, 2024)**    | Transformer autoencoder on node subgraphs | *SOTA (high AUROC/F1)* |

**Insights:** Across these results, a clear trend emerges: **incorporating a node’s local subgraph and pooling it (ideally via attention) usually boosts accuracy**.  Center-only readout (taking just the node’s own embedding) tends to lose important context, especially in complex or heterophilic graphs.  Accordingly, recent Graph Transformer designs (e.g. NAGphormer, SwapGT, TransGAD) focus on tokenizing neighborhoods or samples of neighbors, and then use learned pooling.  By contrast, purely global attention models (Graphormer, basic Transformer) often underperform or scale poorly.

**Recommendation:** For node-level tasks, it is generally advisable to use a **subgraph-centric** Graph Transformer: extract each node’s local neighborhood (one or several hops) as the Transformer input and apply a pooling readout (sum/attention).  This approach consistently outperforms relying solely on the node’s own output token.  In anomaly detection and low-homophily cases, the gain is especially large.  When using GraphTransformer variants, adding local pooling or hybrid GNN+Transformer (e.g. GraphGPS) can mitigate the shortcomings of center-only readout.

**Sources:** Recent empirical studies provide benchmarks and analyses supporting these conclusions. Each cited work reports metrics (accuracy, AUROC, etc.) on standard node-level datasets (e.g. citation networks, social graphs) comparing subgraph pooling strategies against center-node readouts. These results form the basis of the table and trends above.
